رقم_الموظف,الاسم,الهاتف,البريد,القسم
101,محمد أحمد علي,0501234567,m.ahmed@company.com,المبيعات
102,أحمد محمود السيد,0507654321,a.mahmoud@company.com,التسويق
103,خالد سعيد عبدالله,0509876543,k.saeed@company.com,المالية
104,سارة محمد حسن,0502345678,s.mohamed@company.com,الموارد البشرية
105,فاطمة علي إبراهيم,0503456789,f.ali@company.com,تقنية المعلومات
106,عمر حسين أحمد,0504567890,o.hussein@company.com,المبيعات
107,نورة سالم العتيبي,0505678901,n.salem@company.com,التسويق
108,يوسف كريم محمد,0506789012,y.kareem@company.com,المالية
109,ريم عبدالرحمن فهد,0507890123,r.abdulrahman@company.com,الموارد البشرية
110,سلطان ناصر المطيري,0508901234,s.nasser@company.com,تقنية المعلومات
